"NO","Nama UMKM","Komoditi, Produk Utama","Sektor Usaha","Alamat","Tahun Berdiri","Tenaga Kerja","Aset","Omzet","Telepon","Pemasaran","Kecamatan"
"1","AVI              ","Industri Makanan dari Coklat dan Kembang Gula (Coklat Olahan Lainnya)(10732)","kuliner","P.Kp Cibacang  Cimerang Padalarang","2010","7","60,000","300,000","  8,178,129,931 ","Nasional","1"
"2","Maju Jaya","Ternak Domba","peternakan","Kp. Muara Cipada RT 02 RW 22  Cempaka Mekar Padalarang","2012","6","60,000","500,000","","Lokal","1"
"3","Serasi Percetakan","Percetakan","jasa lainnya","Kp. Tipar Barat RT 01 RW 02  Laksana Mekar Padalarang","2013","4","60,000","200,000"," 022686572","","1"
"4","Batu Alam","Hiasan dan peralatan Batu","kerajinan","Cipadang Manah 04/17 Padalarang Padalarang","2000","15","65,000","117,500","022805748","Nasional dan Ekspor","1"
"5","CV.BADARA FRATAMA      ","Industri Pupuk Buatan Majemuk  Hara Makro Primer (20123) ","pertanian","P:Jl Ciampel Rt.05/03     R:Jl Pasir Kaliki No.62/65 Kel.Sukabungah Sukajadi Bandung Laksanamekar Padalarang","2008","6","70,000","128,000","","Nasional","1"
"6","CV.TEGUH PRIMATAMA ","Ind Peralatan Lainnya dari Logam (28939)","perdagangan","P:Jl.Ry Cimareme No.149  Cimareme Padalarang","2010","5","90,000","178,000","  22,659,066 ","Nasional","1"
"7","CV.SURYA MAS GRAFIKA","Ind Percetakan","jasa lainnya","P:Blok Babakan Loa No.204 Rt.03/07  Padalarang Padalarang","2010","7","100,000","165,000","","Lokal","1"
"8","CV.PRIMA SINDANG PALAY       ","Industri Percetakan umum (18111)","jasa lainnya","P:Jl Ry Purwakarta No.27 Rt.02/06    R:Jl Cihaliwung Rt.001/010 Ds.Kertamulya Kec.Padalarang       .Kertamulya Padalarang","2011","4","100,000","150,000","","Lokal","1"
"9","CHANDRA LEONADI","Industri Pakaian Jadi dari Tektil (14111) Pakaian Jadi Luar Pria dan Wanita","fashion","p.Kp Tipar Barat Rt.02/02  Laksanamekar Padalarang","2007","17","100,000","80,000","","Lokal","1"
"10","Ernawati","Pembuatan Album Pop Sunda","jasa lainnya","Perum Bina Karya Blok A.88 Jayamekar padalarang","2012","3","100,000","90,000","085321106676","Lokal","1"
"11","CV.NIKEYSHA ","Industri Percetakan umum (18111)","jasa lainnya","P:Jl Cihaliwung No.106 Rt.001/010  Kertamulya Padalarang","2010","4","100,000","120,000","","Lokal","1"
"12","CV.VIRSHAN ","Industri Percetakan umum (18111)","jasa lainnya","P:Jl Cihaliwung No.114 Rt.001/010  Kertamulya Padalarang","2015","4","100,000","80,000","  8,542,152,145 ","Lokal","1"
"13","CV.MALABAR ","Industri Kimia Dasar Organik (20118)","pertanian","P:Jl Gedong Lima No.10 Rt.005/014  R:Jl Panaris No.20 Padalarang  Padalarang","2014","6","100,000","115,000","  89,118,025,525 ","Lokal","1"
"14","ANTAR JASA","Industri barang barang dari Karet 70000 Pasang ","jasa lainnya","Jl.Tipar Barat No.10A Laksana Mekar Padalarang","2017","8","100,000","75,000","","Lokal","1"
"15","PK.GUNUNG KAWI          ","Industri Kapur (Kapur Tohar) (23942)","pertambangan","P:Jl.Ry Padalarang No.407 Padalarang  Padalarang","2016","15","120,000","150,000","","Lokal","1"
"16","PO.SEKASIH ","Pengawetan & Pengolahan Buah2an dan Ikan Asin (15139,15129)","kuliner","P:Jl.Simpang  Kertajaya Padalarang","2011","6","120,000","170,000 ","  85,289,093 ","Lokal","1"
"17","CV.ZIMAT DAYA","Industri Percetakan","jasa lainnya","P:Jl.Curug Agung Rt.3/5  Kerta Jaya Padalarang","2018","4","150,000","90,000","","Lokal","1"
"18","JVAM Nugraha","Lapak Pasir","jasa lainnya","Kp.Pajabaya Rt 03/Rw 06 Jayamekar padalarang","2012","3","150,000","225,000","022062955","Lokal","1"
"19","CV.SETIA JAYA    ","Industri KomponenKendaraan Bermotor (34300)(34300)","perdagangan","P:Kp.Tipar Timur Rt.07/01  Laksanamekar Padalarang","2010","8","150,000","300,000","  2,252,178 ","Lokal","1"
