NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;CV.LUNGSIN LESTARI;Industri Sabun;Kerajinan;P.Jl.Ds.Cimerang Rt.01/05 Cimerang Padalarang;2015;8;510000;300000;082141241;Lokal;2017/01/01;2;1
;SINAR SAHABAT PLASTIK;Kemasan dari plastik                                           100 Ton;Kerajinan;P : Kp. Cibacang RT.04/04   Cimerang Padalarang;2011;3;510000;330000;;Bandung;2017/01/02;2;1
;Sinar Bintang  ;Industri Barang dari Plastik Kantong Plastik,Biji Plastik (22220);Kerajinan;P:Kp Ciampel Jl.Cibingbin  Laksanamekar Padalarang;2010;15;510000;400000;;Bandung;2017/01/03;2;1
;TRILAN L ;Barang Dari logam                           120 Unit;Kerajinan;P : Jl. Raya Padalarang No.422  Ciburuy Padalarang;2018;21;510000;480000;;Lokal;2017/01/04;2;1
;PK GUNUNG KAWI;Industri Kapur , Kapak Tohor                         120 ton;Kerajinan;P : Jl Raya Pamuncatan No 907 Padalarang Padalarang;2011;18;510000;300000;;lokal;2017/01/05;2;1
;PT.HYMUS ISOKAVE;Bahan Kimia dan Barang Kimia Lainnya;Kerajinan;P: Kp Sudimampir RT 03/13  Cempaka Mekar Padalarang;2007;6;510000;450000;;Lokal;2017/01/06;2;1
;TUNAS          ;Industri Kapur Kapur Tembok,Tohor(23942);Kerajinan;P.Kp Pamucatan  Ciburuy Padalarang;2010;6;450000;420000;;Bandung;2017/01/07;2;1
;PT SUNLI DAMAI ABADI;Ind. Barang2 Plasti, Karung dari Plastik;Kerajinan;P: Komp. Tipar Barat No.38 RT.05/02 Laksanamekar Padalarang;2011;16;460000;600000;;Lokal;2017/01/08;2;1
;QADAR MUKTI;Kapur                     500 ton;Kerajinan;P : Kp.Pojok  Campaka mekar Padalarang;2013;10;400000;300000;;Lokal;2017/01/09;2;1
;PT.GRYMIX INDONESIA    ;Industri Barang dari Semen dan Kapur Untuk Kontruksi (23953);Kerajinan;P:Kp Pamucatan Rt.01/19 Ds/Kec Padalarang  Padalarang;2008;10;525000;430000;;Bandung;2017/01/10;2;1
;PT SANDYCA SURYA;Furniture dari rotan                                     10.000 unit;Kerajinan;P : Jl. Industri Cimareme IV No. 5 Cimareme Padalarang;2009;25;510000;480000;;Lokal;2017/01/11;2;1
;RISKA                           ;Ind Barang dari Karet (25119);Kerajinan;P:Jl.Tipar Timur Rt.06/01  Laksanamekar Padalarang;2004;10;510000;495000;;Lokal;2017/01/12;2;1
;SUBUR; Industri Kapur;Kerajinan;P : Jl. Raya Pamuncatan  Padalarang   Padalarang;2009;8;510000;500000;;Lokal;2017/01/13;2;1
;TRISTAR PANGAN SEJAHTERA;Industri Mamin        500 Ton;Kerajinan;`P:Kp.Cibacang Cimerang Padalarang;2002;8;385000;430000;;Lokal;2017/01/14;2;1
;Citra Onix;Onix;Kerajinan;Jl. Raya Pamucatan no 10  Padalarang;2001;7;700000;385000;081395143295;Lokal;2017/01/15;2;1
;PIDO.BUSANA;Pakaian Jadi 27.000 Ptg;Fashion;P:Gg.Minatu No.83 Rt.02/01 Lembang Lembang;2010;20;510000;800000;0600000;;2017/01/16;2;2
;PT HACE SUNRISE ;Banga - Barang dr karet                    50.000 Pasang;Kerajinan;P : JL Sukaresmi No 15 Mekarwangi Lembang;2009;25;510000;650000;0640000;;2017/01/17;2;2
;CV SURYA MANDIRI;Industri Pupuk Pertanian (pupuk cair pertanian)                    4 Ton;Kerajinan;P : Kp.Nyampay RT.01/06  Langen Sari Lembang;2011;4;610000;690000;0700000;02235316t;2017/01/18;2;2
;PT.ERA SUKA;Industri Obat Tradisional Obat herbal ;Kerajinan;P:Cikareumbi Kp Pangkalan Rt.004/008  Cikidang Lembang;2009;4;590000;780000;0400000;;2017/01/19;2;2
;CV.PRIMA INDOJAYA;Spare part;Kerajinan;P:Jl.Sesko AU Rt.01/12. Lembang Lembang;2012;15;410000;650000;0740000;;2017/01/20;2;2
;CIKO MILK ;Industri Susu                                    52.000 Ltr;Kuliner;P : Kp. Cikole RT.02/15  Cikole Lembang;2008;22;710000;820000;0400000;;2017/01/21;2;2
;PT PANCAR SELATAN;Industri pengemasan makanan                     200 Ton;Kerajinan;P : Kp.Cangkuang Rt 01/09  Giriasih Batujajar;2007;10;510000;640000;022843524;Nasional;2017/01/22;2;3
;PT Sanwa Parts;Industi Sparepart Elektronik;elektronik;Jl Industri Batujajar Permai 1 No 3 Giriasih Batujajar;2005;18;610000;785000;;Bandung Raya;2017/01/23;2;3
;PT Mils CGNP;Industri Textlile;Kerajinan;Jl Raya Batujajar KM 3 Giriasih Batujajar;2009;21;575000;700000;;Lokal;2017/01/24;2;3
;PT. Panca Buana Abadi;Industri Textlile dan Garment;Kerajinan;Jl ladar Rt 04 RW 08 Laksana Mekar Batujajar;2010;13;595000;900000;;Nasional;2017/01/25;2;3
