NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;Konveksi Budak Santri;Konveksi, Baju Santri;fashion;Pangauban RT 01 RW 05 Batujajar Timur Batujajar;2010;1;720000;6000000;087822155971;;2018/01/01;3;3
;Konveksi Baju Muslim;Konveksi, Baju Muslim Pria;fashion;Jl.Aster III A.25 Batujajar indah Batujajar Barat Batujajar;2012;2;6500000;50000000;0226864114 / '081572500506;;2018/01/02;3;3
;Mutiara Konveksi;Konveksi;fashion;Jl. Blok SMP Rt 01 Rw 03 Desa Batujajar Barat  Batujajar;2005;4;8000000;14400000;081320607348;;2018/01/03;3;3
;Busana Sulam Halimah;Hijab, Muslimah;fashion;Cikonde RT 01 RW 02 Cikonde Batujajar;2002;5;7000000;38000000;;;2018/01/04;3;3
;Puspa Busana;Butik;fashion;Bojong Haleuang RT 01 RW 01 Bojong Halewang Batujajar;2000;5;14000000;12000000;;;2018/01/05;3;3
;Busana Payet;Payet;fashion;Batujajar Batujajar Batujajar;2006;4;1350000;648000;;;2018/01/06;3;3
;Berdikari;Toko Baju Anak;fashion;Kp. Dungus Purna RT 01/10 Galanggang Batujajar;2011;2;25000000;140000000;022-76113570;;2018/01/07;3;3
;Kelompok Usaha Ekonomi Ngalagena;Toko Baju Dewasa;fashion;Kp.Sekeloa RT 01/RW 10 Cangkorah Batujajar;1985;2;2000000;9000000;081394544666;;2018/01/08;3;3
;Conveksi Nurani Mandiri;Konveksi;fashion;Blok Sinarjaya  Batujajar Barat Batujajar;1995;3;15000000;144000000;;;2018/01/09;3;3
;Shafira Colection;Pakaian Wanita;fashion;Jl.Raya Batujajar<Babakan Sari> Batujajar Timur Batujajar;1985;5;700000;280000000;;;2018/01/10;3;3
;Zanita Shwall;Pakaian Wanita;fashion;Puspa Regency B.60 Batujajar Batujajar;2003;10;700000;36000000;;;2018/01/11;3;3
;Konveksi  Hanania;Konveksi;fashion;Blok Sukamaju Rt.03/Rw.13 Batujajar Barat Batujajar;1987;6;5000000;40000000;087 823 131 596;;2018/01/12;3;3
;Khanzalifa;Penjahit;fashion;Jl. Raya Batujajar 294 Galanggang Batujajar;1985;4;3000000;112000000;085794413439;;2018/01/13;3;3
;menjahit;Penjahit;fashion;kp.cibeber hilir rt 03/02 giri asih Batujajar;2015;4;2000000;17500000;081321869640;;2018/01/14;3;3
;jahit;Penjahit;fashion;kp.cibeber hilir rt 01/02  giri asih  Batujajar;2010;3;10000000;36000000;08978676299;;2018/01/15;3;3
;fashion HM ;Toko Baju Pria Wanita;fashion;kp. Cibeber hilir RT. 02/02  giri asih  Batujajar;2007;8;15000000;36000000;082317461564;;2018/01/16;3;3
;jahit bikin baju;Konveksi, Menjahit;fashion;kp.cibeber hilir rt 03/02 giri asih Batujajar;2001;2;2000000;8100000;081214811936;;2018/01/17;3;3
;Asep Taylor;Menjahit;fashion;kp.cimanglio rt 02/04  cangkorah Batujajar;2015;3;15000000;6000000;082315063370;;2018/01/18;3;3
;menjahit ;Menjahit;fashion;kp.babakan baru rt 03/12 pangauban  Batujajar;2014;2;60000000;20000000;;;2018/01/19;3;3
;penjahit ;Menjahit;fashion;kp. Dungguspurna rt 01/08    galangan  Batujajar;2012;2;5000000;50000000;085321730177;;2018/01/20;3;3
;konveksi;Konveksi;fashion;kp.salacau rt 02 / 05 selacau  Batujajar;2008;3;5000000;50000000;089617634022;;2018/01/21;3;3
;dagang keliling ;Dagang Baju Keliling;fashion;kp.selacau rt 02/ 05  selacau  Batujajar;2007;5;12000000;6000000;089617634022;;2018/01/22;3;3
;kompeksi ;Konveksi;fashion;kp.cibogo rt 04/12 pangauban  Batujajar;1989;3;15000000;8000000;;;2018/01/23;3;3
;b.k.j;Konveksi,  Produsen Jaket;fashion;kp.sesekendal rt 01/07 cangkorah  Batujajar;2005;3;30000000;60000000;0853203227699;;2018/01/24;3;3
